('', '2', '3', '5', '7', '89', '461', '235789461', 9)
('', '2', '3', '5', '7', '89', '641', '235789641', 9)
('', '2', '3', '5', '7', '461', '89', '235746189', 9)
('', '2', '3', '5', '7', '641', '89', '235764189', 9)
('', '2', '3', '5', '41', '67', '89', '235416789', 9)
('', '2', '3', '5', '41', '89', '67', '235418967', 9)
('', '2', '3', '5', '47', '61', '89', '235476189', 9)
('', '2', '3', '5', '47', '89', '61', '235478961', 9)
('', '2', '3', '5', '61', '47', '89', '235614789', 9)
('', '2', '3', '5', '61', '89', '47', '235618947', 9)
('', '2', '3', '5', '67', '41', '89', '235674189', 9)
('', '2', '3', '5', '67', '89', '41', '235678941', 9)
('', '2', '3', '5', '89', '7', '461', '235897461', 9)
('', '2', '3', '5', '89', '7', '641', '235897641', 9)
('', '2', '3', '5', '89', '41', '67', '235894167', 9)
('', '2', '3', '5', '89', '47', '61', '235894761', 9)
('', '2', '3', '5', '89', '61', '47', '235896147', 9)
('', '2', '3', '5', '89', '67', '41', '235896741', 9)
('', '2', '3', '5', '89', '461', '7', '235894617', 9)
('', '2', '3', '5', '89', '641', '7', '235896417', 9)
('', '2', '3', '5', '461', '7', '89', '235461789', 9)
('', '2', '3', '5', '461', '89', '7', '235461897', 9)
('', '2', '3', '5', '641', '7', '89', '235641789', 9)
('', '2', '3', '5', '641', '89', '7', '235641897', 9)
('', '2', '3', '7', '5', '89', '461', '237589461', 9)
('', '2', '3', '7', '5', '89', '641', '237589641', 9)
('', '2', '3', '7', '5', '461', '89', '237546189', 9)
('', '2', '3', '7', '5', '641', '89', '237564189', 9)
('', '2', '3', '7', '89', '5', '461', '237895461', 9)
('', '2', '3', '7', '89', '5', '641', '237895641', 9)
('', '2', '3', '7', '89', '461', '5', '237894615', 9)
('', '2', '3', '7', '89', '641', '5', '237896415', 9)
('', '2', '3', '7', '461', '5', '89', '237461589', 9)
('', '2', '3', '7', '461', '89', '5', '237461895', 9)
('', '2', '3', '7', '641', '5', '89', '237641589', 9)
('', '2', '3', '7', '641', '89', '5', '237641895', 9)
('', '2', '3', '41', '5', '67', '89', '234156789', 9)
('', '2', '3', '41', '5', '89', '67', '234158967', 9)
('', '2', '3', '41', '67', '5', '89', '234167589', 9)
('', '2', '3', '41', '67', '89', '5', '234167895', 9)
('', '2', '3', '41', '89', '5', '67', '234189567', 9)
('', '2', '3', '41', '89', '67', '5', '234189675', 9)
('', '2', '3', '47', '5', '61', '89', '234756189', 9)
('', '2', '3', '47', '5', '89', '61', '234758961', 9)
('', '2', '3', '47', '61', '5', '89', '234761589', 9)
('', '2', '3', '47', '61', '89', '5', '234761895', 9)
('', '2', '3', '47', '89', '5', '61', '234789561', 9)
('', '2', '3', '47', '89', '61', '5', '234789615', 9)
('', '2', '3', '61', '5', '47', '89', '236154789', 9)
('', '2', '3', '61', '5', '89', '47', '236158947', 9)
('', '2', '3', '61', '47', '5', '89', '236147589', 9)
('', '2', '3', '61', '47', '89', '5', '236147895', 9)
('', '2', '3', '61', '89', '5', '47', '236189547', 9)
('', '2', '3', '61', '89', '47', '5', '236189475', 9)
('', '2', '3', '67', '5', '41', '89', '236754189', 9)
('', '2', '3', '67', '5', '89', '41', '236758941', 9)
('', '2', '3', '67', '41', '5', '89', '236741589', 9)
('', '2', '3', '67', '41', '89', '5', '236741895', 9)
('', '2', '3', '67', '89', '5', '41', '236789541', 9)
('', '2', '3', '67', '89', '41', '5', '236789415', 9)
('', '2', '3', '89', '5', '7', '461', '238957461', 9)
('', '2', '3', '89', '5', '7', '641', '238957641', 9)
('', '2', '3', '89', '5', '41', '67', '238954167', 9)
('', '2', '3', '89', '5', '47', '61', '238954761', 9)
('', '2', '3', '89', '5', '61', '47', '238956147', 9)
('', '2', '3', '89', '5', '67', '41', '238956741', 9)
('', '2', '3', '89', '5', '461', '7', '238954617', 9)
('', '2', '3', '89', '5', '641', '7', '238956417', 9)
('', '2', '3', '89', '7', '5', '461', '238975461', 9)
('', '2', '3', '89', '7', '5', '641', '238975641', 9)
('', '2', '3', '89', '7', '461', '5', '238974615', 9)
('', '2', '3', '89', '7', '641', '5', '238976415', 9)
('', '2', '3', '89', '41', '5', '67', '238941567', 9)
('', '2', '3', '89', '41', '67', '5', '238941675', 9)
('', '2', '3', '89', '47', '5', '61', '238947561', 9)
('', '2', '3', '89', '47', '61', '5', '238947615', 9)
('', '2', '3', '89', '61', '5', '47', '238961547', 9)
('', '2', '3', '89', '61', '47', '5', '238961475', 9)
('', '2', '3', '89', '67', '5', '41', '238967541', 9)
('', '2', '3', '89', '67', '41', '5', '238967415', 9)
('', '2', '3', '89', '461', '5', '7', '238946157', 9)
('', '2', '3', '89', '461', '7', '5', '238946175', 9)
('', '2', '3', '89', '641', '5', '7', '238964157', 9)
('', '2', '3', '89', '641', '7', '5', '238964175', 9)
('', '2', '3', '461', '5', '7', '89', '234615789', 9)
('', '2', '3', '461', '5', '89', '7', '234615897', 9)
('', '2', '3', '461', '7', '5', '89', '234617589', 9)
('', '2', '3', '461', '7', '89', '5', '234617895', 9)
('', '2', '3', '461', '89', '5', '7', '234618957', 9)
('', '2', '3', '461', '89', '7', '5', '234618975', 9)
('', '2', '3', '641', '5', '7', '89', '236415789', 9)
('', '2', '3', '641', '5', '89', '7', '236415897', 9)
('', '2', '3', '641', '7', '5', '89', '236417589', 9)
('', '2', '3', '641', '7', '89', '5', '236417895', 9)
('', '2', '3', '641', '89', '5', '7', '236418957', 9)
('', '2', '3', '641', '89', '7', '5', '236418975', 9)
('', '2', '5', '3', '7', '89', '461', '253789461', 9)
('', '2', '5', '3', '7', '89', '641', '253789641', 9)
('', '2', '5', '3', '7', '461', '89', '253746189', 9)
